,MSSV,NamSinh,GioiTinh,NoiSinh,Lopsh,Khoa,Hedt,KhoaHoc,ChuyenNganh2,TinhTrang,DiaChi_TinhTP
7248,9818736AXPvAibaEXe++B0JyCbXA1IoTOpde2+mu,2001.0,1.0, 'Quảng Bình', MTCL2019.1, KTMT, CLC,14.0, D520214,1.0, 'Tỉnh Quảng Bình'
7249,8F52CAFDXPvAibaEXe++B0JyCbXA1LGp2pqgxqIc,2001.0,1.0, 'Phú Yên', KTMT2019, KTMT, CQUI,14.0, D520214,1.0, 'Tỉnh Phú Yên'
7250,7B7F993CXPvAibaEXe++B0JyCbXA1DLReLiuwrPr,2001.0,0.0, 'Đồng Nai', CNCL2019.2, KTTT, CLC,14.0, 7480201_CLCN,1.0, 'Tỉnh Đồng Nai'
7251,B13F6753XPvAibaEXe++B0JyCbXA1KEJVqfEyW5J,2001.0,0.0, 'Thành phố Hồ Chí Minh', HTCL2019.1, HTTT, CLC,14.0, D480104,1.0, 'Thành phố Hồ Chí Minh'
7252,56587D9CXPvAibaEXe++B0JyCbXA1D+9N1erNAGS,2001.0,1.0, 'Thành phố Hồ Chí Minh', MMCL2019.1, MMT&TT, CLC,14.0,7480102,1.0, 'Huyện Cần Đước'
7253,6830FBDFXPvAibaEXe++B0JyCbXA1H7UKeNd7aVi,2001.0,1.0, 'Vĩnh Long', KHMT2019, KHMT, CQUI,14.0, D480101,1.0, 'Tỉnh Vĩnh Long'
7254,EBA37443XPvAibaEXe++B0JyCbXA1I08YIdcevqB,2001.0,1.0, 'Bình Định', MMCL2019.1, MMT&TT, CLC,14.0,7480102,5.0, 'Thành phố Hồ Chí Minh'
7255,B0D11834XPvAibaEXe/Hd2nFsMs4VEgzMAroLXb5,2001.0,1.0, 'Bến Tre', CNTT2019, KTTT, CQUI,14.0, D480201,1.0, 'Tỉnh Bến Tre'
7256,88452E23XPvAibaEXe/Hd2nFsMs4VOwNwn7XovOm,2001.0,1.0, 'Bến Tre', PMCL2019.2, CNPM, CLC,14.0, D480103,1.0, 'Tỉnh Bến Tre'
7257,17DD1891XPvAibaEXe/Hd2nFsMs4VAdcqNefMXdw,2001.0,1.0, 'Khánh Hòa', TMĐT2019, HTTT, CQUI,14.0, D52480104,4.0, 'Khánh Hòa'
7258,16424E36XPvAibaEXe/Hd2nFsMs4VPf6MbfpNKbj,2001.0,1.0, 'Thành phố Hồ Chí Minh', PMCL2019.2, CNPM, CLC,14.0, D480103,1.0, 'Tỉnh Bình Dương'
7259,BFB9AA3EXPvAibaEXe/Hd2nFsMs4VMY4azJrIys6,2001.0,1.0, 'Thành phố Hồ Chí Minh', MTCL2019.1, KTMT, CLC,14.0, D520214,2.0, 'Thành phố Hồ Chí Minh'
7260,3AD562F2XPvAibaEXe/Hd2nFsMs4VHKkcoAYpeCj,2001.0,1.0, 'Nghệ An', CTTT2019.1, HTTT, CTTT,14.0, D480104,1.0, 'Thành phố Vinh'
7261,C6BEEDEBXPvAibaEXe/Hd2nFsMs4VJMEohtoTdvd,2001.0,1.0, 'Đồng Nai', HTTT2019, HTTT, CQUI,14.0, D480104,1.0, 'Tỉnh Đồng Nai'
7262,52CB354DXPvAibaEXe/Hd2nFsMs4VGDy64BCTRs/,2001.0,1.0, 'Tiền Giang', MTCL2019.1, KTMT, CLC,14.0, D520214,1.0, 'Tỉnh Tiền Giang'
7263,DA9A7654XPvAibaEXe/Hd2nFsMs4VB5MCUAIwy45,2001.0,1.0, 'Quảng Nam', ATCL2019.1, MMT&TT, CLC,14.0, D480299,1.0, 'Tỉnh Quảng Nam'
7264,6A0B3173XPvAibaEXe8C3lblh2dNngefVWO5ag4W,2001.0,1.0, 'Thành phố Hồ Chí Minh', MMCL2019.1, MMT&TT, CLC,14.0,7480102,1.0, 'Thành phố Hồ Chí Minh'
7265,F9D14729XPvAibaEXe8C3lblh2dNnnpHHDYTjJ18,2001.0,1.0, 'Thành phố Hồ Chí Minh', KHCL2019.1, KHMT, CLC,14.0, D480101,2.0, 'Thành phố Hồ Chí Minh'
7266,0018C59CXPvAibaEXe8C3lblh2dNniH+SYgLosUA,2000.0,1.0, 'Cà Mau', KHCL2019.1, KHMT, CLC,14.0, D480101,1.0, 'Tỉnh Cà Mau'
7267,6D3FE28AXPvAibaEXe8C3lblh2dNnveK8CqEO+pv,2001.0,1.0, 'Đồng Nai', MTCL2019.1, KTMT, CLC,14.0, D520214,1.0, 'Phường Tân Phong'
7268,0F0B3880XPvAibaEXe8C3lblh2dNnucGR/kirZnP,2001.0,1.0, 'Thành phố Hồ Chí Minh', MMCL2019.1, MMT&TT, CLC,14.0,7480102,1.0, 'Thành phố Hồ Chí Minh'
7269,2B84933DXPvAibaEXe8C3lblh2dNnhmATfGe0l+C,2001.0,1.0, 'Long An', HTTT2019, HTTT, CQUI,14.0, D480104,1.0, 'Tỉnh Long An'
7270,1672B406XPvAibaEXe8C3lblh2dNngamFrWPE5f9,2001.0,0.0, 'Đồng Nai', KHMT2019, KHMT, CQUI,14.0, D480101,1.0, 'Tỉnh Đồng Nai'
7271,DA3D9587XPvAibaEXe8C3lblh2dNnpEM7MnDExYF,2001.0,0.0, 'Quảng Ngãi', ATTT2019, MMT&TT, CQUI,14.0, D480299,1.0, 'Huyện Đức Phổ'
7272,E955672EXPvAibaEXe+vuDGG5hNDv0w7HQ6Pf55r,2001.0,1.0, 'An Giang', MTCL2019.1, KTMT, CLC,14.0, D520214,2.0, 'An Giang'
7273,957B4C32XPvAibaEXe+vuDGG5hNDv9dwOs30ib0k,2001.0,0.0, 'Gia Lai', CNTT2019, KTTT, CQUI,14.0, D480201,1.0, 'Huyện Chư Pưh'
7274,22E62B16XPvAibaEXe+vuDGG5hNDv+7gZday0hE8,2001.0,0.0, 'Thành phố Hồ Chí Minh', CNCL2019.2, KTTT, CLC,14.0, 7480201_CLCN,1.0, 'Thành phố Hồ Chí Minh'
